request count, total data transfered (bytes), response time (sec), average response time (sec)
60, 780, 9.196050, 0.153267
60, 780, 9.059615, 0.150994
60, 780, 8.857059, 0.147618
60, 780, 8.825611, 0.147094
60, 780, 8.745797, 0.145763
60, 780, 8.920189, 0.148670
60, 780, 9.146184, 0.152436
60, 780, 9.404296, 0.156738
60, 780, 8.627804, 0.143797
60, 780, 8.865716, 0.147762
60, 780, 9.408770, 0.156813
60, 780, 8.989337, 0.149822
60, 780, 9.540306, 0.159005
60, 780, 9.133147, 0.152219
60, 780, 8.522148, 0.142036
60, 780, 8.678258, 0.144638
60, 780, 9.010468, 0.150174
60, 780, 8.199676, 0.136661
60, 780, 9.305874, 0.155098
60, 780, 9.079724, 0.151329
60, 780, 8.908916, 0.148482
60, 780, 8.271321, 0.137855
60, 780, 9.075698, 0.151262
60, 780, 9.007071, 0.150118
60, 780, 9.376150, 0.156269
60, 780, 9.016951, 0.150283
60, 780, 8.839856, 0.147331
60, 780, 8.077600, 0.134627
60, 780, 8.461743, 0.141029
60, 780, 8.480710, 0.141345
60, 780, 9.365985, 0.156100
60, 780, 9.211622, 0.153527
60, 780, 9.377825, 0.156297
60, 780, 8.649607, 0.144160
60, 780, 8.503633, 0.141727
60, 780, 9.100712, 0.151679
60, 780, 9.382995, 0.156383
60, 780, 9.549751, 0.159163
60, 780, 9.081756, 0.151363
60, 780, 8.872212, 0.147870
60, 780, 9.380911, 0.156349
60, 780, 9.309548, 0.155159
60, 780, 9.380342, 0.156339
60, 780, 9.079844, 0.151331
60, 780, 9.515588, 0.158593
60, 780, 9.385814, 0.156430
60, 780, 9.043546, 0.150726
60, 780, 8.844316, 0.147405
60, 780, 9.382060, 0.156368
60, 780, 9.162527, 0.152709
60, 780, 9.383604, 0.156393
60, 780, 9.316578, 0.155276
60, 780, 9.399452, 0.156658
60, 780, 9.318025, 0.155300
60, 780, 9.120887, 0.152015
60, 780, 8.903526, 0.148392
60, 780, 9.340551, 0.155676
60, 780, 8.701646, 0.145027
60, 780, 9.248250, 0.154138
60, 780, 9.520414, 0.158674
60, 780, 9.109221, 0.151820
60, 780, 9.058453, 0.150974
60, 780, 9.552552, 0.159209
60, 780, 8.490306, 0.141505
60, 780, 8.886219, 0.148104
60, 780, 9.111275, 0.151855
60, 780, 9.557095, 0.159285
60, 780, 8.534779, 0.142246
60, 780, 9.437505, 0.157292
60, 780, 8.754926, 0.145915
60, 780, 9.011700, 0.150195
60, 780, 8.133908, 0.135565
60, 780, 9.223071, 0.153718
60, 780, 9.197705, 0.153295
60, 780, 9.134893, 0.152248
60, 780, 8.544386, 0.142406
60, 780, 8.511696, 0.141862
60, 780, 7.518831, 0.125314
60, 780, 9.104477, 0.151741
60, 780, 9.455688, 0.157595
60, 780, 8.626447, 0.143774
60, 780, 9.518085, 0.158635
60, 780, 9.134397, 0.152240
60, 780, 9.249220, 0.154154
60, 780, 9.462051, 0.157701
60, 780, 9.136059, 0.152268
60, 780, 9.379532, 0.156326
60, 780, 9.385592, 0.156427
60, 780, 8.583070, 0.143051
60, 780, 9.399990, 0.156667
60, 780, 9.172224, 0.152870
60, 780, 7.813254, 0.130221
60, 780, 8.891704, 0.148195
60, 780, 8.788954, 0.146483
60, 780, 8.911322, 0.148522
60, 780, 9.141721, 0.152362
60, 780, 9.196685, 0.153278
60, 780, 9.470660, 0.157844
60, 780, 9.051291, 0.150855
60, 780, 9.120685, 0.152011
60, 780, 9.230601, 0.153843
60, 780, 8.873523, 0.147892
60, 780, 8.369388, 0.139490
60, 780, 9.121790, 0.152030
60, 780, 9.252625, 0.154210
60, 780, 9.477304, 0.157955
60, 780, 9.599378, 0.159990
60, 780, 9.476887, 0.157948
60, 780, 8.320547, 0.138676
60, 780, 9.438395, 0.157307
60, 780, 8.926820, 0.148780
60, 780, 8.671299, 0.144522
60, 780, 8.781622, 0.146360
60, 780, 8.811580, 0.146860
60, 780, 9.282029, 0.154701
60, 780, 9.031656, 0.150528
60, 780, 9.029837, 0.150497
60, 780, 9.473198, 0.157887
60, 780, 9.174130, 0.152902
60, 780, 9.185827, 0.153097
60, 780, 8.903884, 0.148398
60, 780, 9.532810, 0.158880
60, 780, 9.189137, 0.153152
60, 780, 9.551144, 0.159186
60, 780, 9.164847, 0.152747
60, 780, 9.508921, 0.158482
60, 780, 8.612524, 0.143542
60, 780, 9.538365, 0.158973
60, 780, 9.558538, 0.159309
60, 780, 9.196204, 0.153270
60, 780, 9.510236, 0.158504
60, 780, 9.463434, 0.157724
60, 780, 9.491798, 0.158197
60, 780, 9.238420, 0.153974
60, 780, 9.492794, 0.158213
60, 780, 9.520158, 0.158669
60, 780, 8.660363, 0.144339
60, 780, 9.020474, 0.150341
60, 780, 7.681915, 0.128032
60, 780, 9.456420, 0.157607
60, 780, 7.750923, 0.129182
60, 780, 9.451853, 0.157531
60, 780, 9.437325, 0.157289
60, 780, 9.170547, 0.152842
60, 780, 9.583872, 0.159731
60, 780, 9.199314, 0.153322
60, 780, 9.654816, 0.160914
60, 780, 9.263179, 0.154386
60, 780, 9.168112, 0.152802
60, 780, 9.591650, 0.159861
60, 780, 9.137993, 0.152300
60, 780, 9.655720, 0.160929
60, 780, 9.698806, 0.161647
60, 780, 9.210711, 0.153512
60, 780, 8.811082, 0.146851
60, 780, 9.256670, 0.154278
60, 780, 9.664950, 0.161083
60, 780, 9.080462, 0.151341
60, 780, 8.401423, 0.140024
60, 780, 9.053595, 0.150893
60, 780, 7.775863, 0.129598
60, 780, 9.340571, 0.155676
60, 780, 8.784473, 0.146408
60, 780, 8.864332, 0.147739
60, 780, 8.788407, 0.146473
60, 780, 9.567151, 0.159453
60, 780, 9.696499, 0.161608
60, 780, 9.012304, 0.150205
60, 780, 9.705418, 0.161757
60, 780, 9.148400, 0.152473
60, 780, 9.487918, 0.158132
60, 780, 9.670104, 0.161168
60, 780, 9.363137, 0.156052
60, 780, 9.537733, 0.158962
60, 780, 9.748559, 0.162476
60, 780, 9.720399, 0.162007
60, 780, 9.148551, 0.152476
60, 780, 9.426997, 0.157117
60, 780, 9.258766, 0.154313
60, 780, 9.262387, 0.154373
60, 780, 8.818303, 0.146972
60, 780, 9.646746, 0.160779
60, 780, 8.396762, 0.139946
60, 780, 8.942419, 0.149040
60, 780, 9.588814, 0.159814
60, 780, 8.857038, 0.147617
60, 780, 9.032539, 0.150542
60, 780, 9.715839, 0.161931
60, 780, 8.818733, 0.146979
60, 780, 9.264938, 0.154416
60, 780, 9.053039, 0.150884
60, 780, 8.933947, 0.148899
60, 780, 9.167425, 0.152790
60, 780, 9.770945, 0.162849
60, 780, 9.373904, 0.156232
60, 780, 9.234395, 0.153907
60, 780, 9.653057, 0.160884
60, 780, 9.267303, 0.154455
60, 780, 8.986205, 0.149770
60, 780, 9.730717, 0.162179
60, 780, 9.193462, 0.153224
60, 780, 8.748769, 0.145813
60, 780, 9.087222, 0.151454
